post_title,post_content
Primer grado de ebriedad,$ 5316.00
Segundo grado de ebriedad,$ 5980.50
Tercer grado de ebriedad,$ 7375.95
Ascenso y descenso fuera de la parada,$ 1661.25
Circulación con parabrisas roto o sin espejos,$ 332.25
"Circulación en zona prohibida, fuera de horario, sin permiso correspondiente",$ 1329.00
Circulación con exceso de ruido(audio),$ 996.75
Circulación con placas ocultas,$ 664.50
Circulación con placas sobrepuestas,$ 2658.00
Circulación con puertas abiertas,$ 996.75
Circulación en carril de contraflujo,$ 1329.00
Circulación en la banqueta,$ 664.50
Circulación en reversa sin necesidad,$ 664.50
Circulación en reversa sin precaución,$ 664.50
Circulación sobre boyas,$ 332.25
Circulación en sentido contrario,$ 996.75
Conducir sin luces,$ 996.75
Conducir sin placas y tarjeta de circulación ,$ 664.50
Conducir sin tener licencia,$ 664.50
Cristales polarizados,$ 2658.00
Darse a la fuga despues de accidente,$ 5316.00
Efectuar competencia en via publica,$ 5980.50
"Conducir con personas, animales u objetos",$ 996.75
Escape roto,$ 1329.00
Estacionarse en rayas peatonales,$ 199.35
Estacionarse en entradas y salidas de estacionamiento o salida de emergencia.,$ 1661.25
Estacionarse a menos de 5 metros de la esquina,$ 664.50
Estacionarse en doble fila,$ 1661.25
Estacionarse en doble fila e interrumpir la circulación. ,$ 2325.75
Estacionarse en lugar prohibido,$ 664.50
Estacionarse en sentido contrario.,$ 996.75
Estacionarse rampa para discapacitados,$ 996.75
Estacionarse en paradas del servicio publico,$ 664.50
Exceso de dimensiones,$ 1661.25
Exceso de ocupantes mas de la capacidad autorizada,$ 1661.25
Exceso de velocidad,$ 1993.50
Falta de abanderamiento,$ 1993.50
Falta de casco protector de conductor o pasajero,$ 332.25
Falta de elementos reflejantes,$ 664.50
Falta de loderas,$ 664.50
Falta de lonas,$ 996.75
Falta de precaución y provocar acidente,$ 996.75
Falta de refrendo,$ 664.50
Hablar por celular o equipo de comunicación,$ 2325.75
Hacer uso del claxon,$ 996.75
Interrumpir circulación a vehículo de emergencia,$ 996.75
Manejar con licencia vencida,$ 332.25
Negar documentos,$ 996.75
Niños en asiento de una fila sin cinturón de seguridad,$ 996.75
No anunciar maniobra con luces direccionales,$ 199.35
No ceder paso al peaton,$ 664.50
No guardar distancia,$ 664.50
No obedecer indicaciones del agente de transito,$ 1661.25
No obedecer señalamiento,$ 664.50
No portar licencia,$ 332.25
No reportar ante la autoridad cambio en vehículo,$ 664.50
No utilizar cinturon de seguridad el conductor,$ 1661.25
No utilizar cinturón de seguridad el copiloto,$ 332.25
Obstruir el paso al peatón “Banqueta”,$ 332.25
Pasar señal de alto en semaforo,$ 1993.50
Portar objectos que impidan la visibilidad en ventanas traseras o medallón (rótulos o carteles),$ 1661.25
Rebasar fuera del carril de contra flujo vehículos de servicio publico.,$ 1993.50
Rebasar por carril derecho,$ 332.25
Remolcar vehículos sin autorización,$ 996.75
Conducir en sentido contrario,$ 996.75
Sistema de luces y frenos en mal estado,$ 996.75
Transitar en moto en zona peatonal,$ 664.50
Transportar niños en asientos traseros sin silla especial.,$ 996.75
Transportar carga que dificulte la conducción de la motocicleta.,$ 996.75
Transportar niños en asiento de copiloto.,$ 1661.25
Transportar un numero mayor de pasajeros en motocicleta.,$ 199.35
Transporte publico y de carga y pasajero circular son permiso correspondiente,$ 664.50
Utilizar luces de exclusiva de vehículos de emergencia.,$ 1993.50
"Vuelta en U en puentes, curvas y zon escolar y paso a desnivel.",$ 1329.00
